DateTime,CE pnl,PE pnl,PnL Combined
2024-08-09 12:30:00,1876.0,1490.0,3366.0
2024-08-09 12:31:00,1898.0,1511.0,3409.0
2024-08-09 12:32:00,1971.0,1432.0,3403.0
2024-08-09 12:33:00,1990.0,1436.0,3426.0
2024-08-09 12:34:00,1862.0,1494.0,3356.0
2024-08-09 12:35:00,1903.0,1464.0,3367.0
2024-08-09 12:36:00,1903.0,1431.0,3334.0
2024-08-09 12:37:00,1870.0,1474.0,3344.0
2024-08-09 12:38:00,1631.0,1668.0,3299.0
2024-08-09 12:39:00,1624.0,1645.0,3269.0
2024-08-09 12:40:00,1529.0,1670.0,3199.0
2024-08-09 12:41:00,1562.0,1656.0,3218.0
2024-08-09 12:42:00,1469.0,1671.0,3140.0
2024-08-09 12:43:00,1545.0,1646.0,3191.0
2024-08-09 12:44:00,1602.0,1650.0,3252.0
2024-08-09 12:45:00,1859.0,1601.0,3460.0
2024-08-09 12:46:00,2045.0,1469.0,3514.0
2024-08-09 12:47:00,1994.0,1500.0,3494.0
2024-08-09 12:48:00,1910.0,1618.0,3528.0
2024-08-09 12:49:00,1832.0,1674.0,3506.0
2024-08-09 12:50:00,1927.0,1604.0,3531.0
2024-08-09 12:51:00,1972.0,1533.0,3505.0
2024-08-09 12:52:00,2090.0,1428.0,3518.0
2024-08-09 12:53:00,2067.0,1442.0,3509.0
2024-08-09 12:54:00,2104.0,1353.0,3457.0
2024-08-09 12:55:00,2035.0,1433.0,3468.0
2024-08-09 12:56:00,1981.0,1543.0,3524.0
2024-08-09 12:57:00,1956.0,1655.0,3611.0
2024-08-09 12:58:00,2081.0,1511.0,3592.0
2024-08-09 12:59:00,2014.0,1539.0,3553.0
2024-08-09 13:00:00,2034.0,1513.0,3547.0
2024-08-09 13:01:00,2083.0,1464.0,3547.0
2024-08-09 13:02:00,2017.0,1516.0,3533.0
2024-08-09 13:03:00,2044.0,1505.0,3549.0
2024-08-09 13:04:00,1997.0,1565.0,3562.0
2024-08-09 13:05:00,2020.0,1556.0,3576.0
2024-08-09 13:06:00,1984.0,1619.0,3603.0
2024-08-09 13:07:00,1905.0,1673.0,3578.0
2024-08-09 13:08:00,1957.0,1658.0,3615.0
2024-08-09 13:09:00,1948.0,1659.0,3607.0
2024-08-09 13:10:00,2132.0,1558.0,3690.0
2024-08-09 13:11:00,1910.0,1801.0,3711.0
2024-08-09 13:12:00,1868.0,1829.0,3697.0
2024-08-09 13:13:00,1920.0,1791.0,3711.0
2024-08-09 13:14:00,1951.0,1802.0,3753.0
2024-08-09 13:15:00,1982.0,1795.0,3777.0
2024-08-09 13:16:00,1865.0,1868.0,3733.0
2024-08-09 13:17:00,1997.0,1806.0,3803.0
2024-08-09 13:18:00,1922.0,1896.0,3818.0
2024-08-09 13:19:00,1837.0,1951.0,3788.0
2024-08-09 13:20:00,1751.0,2065.0,3816.0
2024-08-09 13:21:00,1822.0,2028.0,3850.0
2024-08-09 13:22:00,1753.0,2059.0,3812.0
2024-08-09 13:23:00,1832.0,2021.0,3853.0
2024-08-09 13:24:00,1649.0,2063.0,3712.0
2024-08-09 13:25:00,1743.0,2032.0,3775.0
2024-08-09 13:26:00,1787.0,1989.0,3776.0
2024-08-09 13:27:00,1937.0,1962.0,3899.0
2024-08-09 13:28:00,1773.0,2019.0,3792.0
2024-08-09 13:29:00,1709.0,2054.0,3763.0
2024-08-09 13:30:00,1876.0,2039.0,3915.0
2024-08-09 13:31:00,1941.0,2003.0,3944.0
2024-08-09 13:32:00,2059.0,1977.0,4036.0
2024-08-09 13:33:00,2131.0,1978.0,4109.0
2024-08-09 13:34:00,2079.0,2007.0,4086.0
2024-08-09 13:35:00,2069.0,2053.0,4122.0
2024-08-09 13:36:00,2217.0,1982.0,4199.0
2024-08-09 13:37:00,2121.0,2031.0,4152.0
2024-08-09 13:38:00,2339.0,1961.0,4300.0
2024-08-09 13:39:00,2469.0,1910.0,4379.0
2024-08-09 13:40:00,2470.0,1869.0,4339.0
2024-08-09 13:41:00,2438.0,1934.0,4372.0
2024-08-09 13:42:00,2400.0,2010.0,4410.0
2024-08-09 13:43:00,2378.0,2126.0,4504.0
2024-08-09 13:44:00,2375.0,2129.0,4504.0
2024-08-09 13:45:00,2370.0,2128.0,4498.0
2024-08-09 13:46:00,2248.0,2191.0,4439.0
2024-08-09 13:47:00,2282.0,2212.0,4494.0
2024-08-09 13:48:00,2317.0,2170.0,4487.0
2024-08-09 13:49:00,2306.0,2174.0,4480.0
2024-08-09 13:50:00,2478.0,2125.0,4603.0
2024-08-09 13:51:00,2517.0,2115.0,4632.0
2024-08-09 13:52:00,2465.0,2181.0,4646.0
2024-08-09 13:53:00,2469.0,2120.0,4589.0
2024-08-09 13:54:00,2516.0,2103.0,4619.0
2024-08-09 13:55:00,2471.0,2161.0,4632.0
2024-08-09 13:56:00,2480.0,2142.0,4622.0
2024-08-09 13:57:00,2438.0,2174.0,4612.0
2024-08-09 13:58:00,2471.0,2160.0,4631.0
2024-08-09 13:59:00,2569.0,2100.0,4669.0
2024-08-09 14:00:00,2571.0,2183.0,4754.0
2024-08-09 14:01:00,2546.0,2165.0,4711.0
2024-08-09 14:02:00,2541.0,2169.0,4710.0
2024-08-09 14:03:00,2489.0,2186.0,4675.0
2024-08-09 14:04:00,2523.0,2187.0,4710.0
2024-08-09 14:05:00,2446.0,2288.0,4734.0
2024-08-09 14:06:00,2320.0,2322.0,4642.0
2024-08-09 14:07:00,2343.0,2304.0,4647.0
2024-08-09 14:08:00,2098.0,2349.0,4447.0
2024-08-09 14:09:00,2165.0,2324.0,4489.0
2024-08-09 14:10:00,2266.0,2302.0,4568.0
2024-08-09 14:11:00,1989.0,2312.0,4301.0
2024-08-09 14:12:00,2200.0,2290.0,4490.0
2024-08-09 14:13:00,2269.0,2264.0,4533.0
2024-08-09 14:14:00,2260.0,2259.0,4519.0
2024-08-09 14:15:00,2180.0,2323.0,4503.0
2024-08-09 14:16:00,2219.0,2295.0,4514.0
2024-08-09 14:17:00,2395.0,2266.0,4661.0
2024-08-09 14:18:00,2415.0,2268.0,4683.0
2024-08-09 14:19:00,2583.0,2227.0,4810.0
2024-08-09 14:20:00,2672.0,2224.0,4896.0
2024-08-09 14:21:00,2761.0,2184.0,4945.0
2024-08-09 14:22:00,2731.0,2209.0,4940.0
2024-08-09 14:23:00,2654.0,2291.0,4945.0
2024-08-09 14:24:00,2655.0,2325.0,4980.0
2024-08-09 14:25:00,2670.0,2313.0,4983.0
2024-08-09 14:26:00,2636.0,2314.0,4950.0
2024-08-09 14:27:00,2679.0,2278.0,4957.0
2024-08-09 14:28:00,2794.0,2235.0,5029.0
2024-08-09 14:29:00,2746.0,2276.0,5022.0
2024-08-09 14:30:00,2754.0,2282.0,5036.0
2024-08-09 14:31:00,2784.0,2265.0,5049.0
2024-08-09 14:32:00,2873.0,2167.0,5040.0
2024-08-09 14:33:00,2877.0,2201.0,5078.0
2024-08-09 14:34:00,2867.0,2181.0,5048.0
2024-08-09 14:35:00,2868.0,2183.0,5051.0
2024-08-09 14:36:00,2882.0,2174.0,5056.0
2024-08-09 14:37:00,2887.0,2215.0,5102.0
2024-08-09 14:38:00,2872.0,2322.0,5194.0
2024-08-09 14:39:00,2863.0,2296.0,5159.0
2024-08-09 14:40:00,2912.0,2320.0,5232.0
2024-08-09 14:41:00,2839.0,2418.0,5257.0
2024-08-09 14:42:00,2770.0,2425.0,5195.0
2024-08-09 14:43:00,2871.0,2407.0,5278.0
2024-08-09 14:44:00,2846.0,2396.0,5242.0
2024-08-09 14:45:00,2853.0,2415.0,5268.0
2024-08-09 14:46:00,2876.0,2384.0,5260.0
2024-08-09 14:47:00,2816.0,2423.0,5239.0
