Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_11,45_pnl_threshold_2846.84.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_13,00_pnl_threshold_3396.91.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,4_time_09,30_pnl_threshold_8944.74.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_10,15_pnl_threshold_5376.32.csv"
2023-06-15,644.55375,345.45375,345.45375,-476.1675,352.93125
2023-06-22,-3090.23625,-1935.5325,-1935.5325,-2857.03875,-3263.25375
2023-06-28,2880.32625,3590.68875,2502.7125,674.46375,2667.2175
2023-07-06,2416.72125,2988.75,1814.7825,2652.2625,3209.33625
2023-07-13,-126.37125,-182.79,-160.2225,-1495.46625,-288.105
2023-07-20,337.97625,1227.79875,1560.5475,1040.86125,386.58
2023-07-27,-547.63125,1504.46625,1601.67375,-886.14375,-1653.43875
2023-08-03,-2161.2075,2323.2525,2323.2525,-2699.06625,1119.375
2023-08-10,1216.5825,-152.7,1141.8075,3037.35375,-592.76625
2023-08-17,2913.975,1194.15,1194.15,4461.8175,3486.00375
2023-08-24,610.905,1141.8075,1268.925,-7186.2375,-2443.30125
2023-08-31,483.7875,334.2375,1242.75375,-1777.56,-17.35
2023-09-07,-1529.3175,-1171.99875,-1171.99875,-1928.01,-1604.5425
2023-09-14,2910.23625,2274.64875,2274.64875,842.7075,2932.66875
2023-09-21,1115.63625,1930.68375,1930.68375,2211.09,2274.64875
2023-09-28,951.13125,-36.10125,-36.10125,-1322.44875,-2928.5025
2023-10-05,401.535,528.6525,528.6525,165.99375,121.12875
2023-10-12,1983.02625,1665.2325,1665.2325,3740.23875,1941.9
2023-10-19,1317.52875,412.75125,580.995,-1175.76,-148.93875
2023-10-26,2521.40625,2274.64875,2274.64875,2741.9925,3216.81375
2023-11-02,1149.285,180.94875,180.94875,-337.00125,169.7325
2023-11-09,1377.34875,1642.8,1642.8,2229.78375,1138.06875
2023-11-16,562.30125,-498.735,-498.735,-6238.4025,-5012.235
2023-11-23,745.5,696.89625,696.89625,-2040.8475,984.78
