type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,25400.0,0.5395113249969994,2024-10-04 11:45:00,2024-10-10,171.6,2024-10-04 15:20:00,49.6,Final Expiry Exit,122.0
PE,25300.0,-0.3766039744812685,2024-10-04 11:45:00,2024-10-10,159.0,2024-10-04 15:20:00,333.05,Final Expiry Exit,-174.05
PE,24900.0,-0.1629073505157309,2024-10-04 12:00:00,2024-10-10,50.3,2024-10-04 15:20:00,130.7,Final Expiry Exit,-80.39999999999999
CE,25050.0,0.3803906966974041,2024-10-07 11:45:00,2024-10-10,151.5,2024-10-07 15:20:00,86.55,Final Expiry Exit,64.95
PE,24900.0,-0.5025662442448182,2024-10-07 11:45:00,2024-10-10,147.65,2024-10-07 15:20:00,200.6,Final Expiry Exit,-52.94999999999999
CE,25450.0,0.12217554754741411,2024-10-07 12:05:00,2024-10-10,28.4,2024-10-07 15:20:00,18.45,Final Expiry Exit,9.95
CE,25000.0,0.4545614659694858,2024-10-08 11:45:00,2024-10-10,129.1,2024-10-08 15:20:00,121.8,Final Expiry Exit,7.299999999999997
PE,24950.0,-0.4902386363476225,2024-10-08 11:45:00,2024-10-10,136.65,2024-10-08 15:20:00,120.5,Final Expiry Exit,16.150000000000006
CE,25200.0,0.3992212004883725,2024-10-09 11:45:00,2024-10-10,79.45,2024-10-09 15:20:00,20.05,Final Expiry Exit,59.400000000000006
PE,25150.0,-0.5145676387964646,2024-10-09 11:45:00,2024-10-10,101.85,2024-10-09 15:20:00,191.8,Final Expiry Exit,-89.95000000000002
CE,25450.0,0.1153464383080921,2024-10-09 11:55:00,2024-10-10,13.65,2024-10-09 15:20:00,3.25,Final Expiry Exit,10.4
CE,25050.0,0.05379088780508783,2024-10-10 11:45:00,2024-10-10,18.2,2024-10-10 15:20:00,0.15,Final Expiry Exit,18.05
PE,25000.0,0.0,2024-10-10 11:45:00,2024-10-10,40.95,2024-10-10 15:20:00,2.1,Final Expiry Exit,38.85
PE,24900.0,-0.05379088780508783,2024-10-10 15:00:00,2024-10-10,0.6,2024-10-10 15:20:00,0.1,Final Expiry Exit,0.5
CE,25000.0,0.4547546197512099,2024-10-11 11:45:00,2024-10-17,119.75,2024-10-11 15:20:00,126.85,Final Expiry Exit,-7.099999999999994
PE,24900.0,-0.4436378341199149,2024-10-11 11:45:00,2024-10-17,145.35,2024-10-11 15:20:00,114.65,Final Expiry Exit,30.69999999999999
CE,25200.0,0.42763165962392835,2024-10-14 11:45:00,2024-10-17,91.95,2024-10-14 15:20:00,80.35,Final Expiry Exit,11.600000000000009
PE,25100.0,-0.43834569474408663,2024-10-14 11:45:00,2024-10-17,97.9,2024-10-14 15:20:00,98.35,Final Expiry Exit,-0.44999999999998863
CE,25100.0,0.4305884850839454,2024-10-15 11:45:00,2024-10-17,79.5,2024-10-15 15:20:00,67.4,Final Expiry Exit,12.099999999999994
PE,25000.0,-0.41905032532555053,2024-10-15 11:45:00,2024-10-17,84.45,2024-10-15 15:20:00,75.8,Final Expiry Exit,8.650000000000006
CE,24950.0,0.5210092808366589,2024-10-16 11:45:00,2024-10-17,71.5,2024-10-16 15:20:00,81.8,Final Expiry Exit,-10.299999999999997
PE,24900.0,-0.3965410808340244,2024-10-16 11:45:00,2024-10-17,71.5,2024-10-16 15:20:00,36.65,Final Expiry Exit,34.85
PE,24700.0,-0.12446820000263448,2024-10-16 12:00:00,2024-10-17,16.65,2024-10-16 15:20:00,6.85,Final Expiry Exit,9.799999999999999
CE,24800.0,0.18802267790430383,2024-10-17 11:45:00,2024-10-17,20.1,2024-10-17 15:20:00,0.1,Final Expiry Exit,20.0
PE,24750.0,-0.5190073837506558,2024-10-17 11:45:00,2024-10-17,13.45,2024-10-17 15:20:00,0.5,Final Expiry Exit,12.95
CE,24800.0,0.330984705846352,2024-10-17 14:00:00,2024-10-17,5.95,2024-10-17 15:20:00,0.1,Final Expiry Exit,5.8500000000000005
CE,24850.0,0.529080123536075,2024-10-18 11:45:00,2024-10-24,143.2,2024-10-18 15:20:00,155.1,Final Expiry Exit,-11.900000000000006
PE,24750.0,-0.3572254677277985,2024-10-18 11:45:00,2024-10-24,111.8,2024-10-18 15:20:00,86.35,Final Expiry Exit,25.450000000000003
PE,24500.0,-0.17185465580827652,2024-10-18 12:35:00,2024-10-24,38.15,2024-10-18 15:20:00,36.35,Final Expiry Exit,1.7999999999999972
CE,24800.0,0.4347561837394214,2024-10-21 11:45:00,2024-10-24,99.0,2024-10-21 15:20:00,94.05,Final Expiry Exit,4.950000000000003
PE,24750.0,-0.49382520287888354,2024-10-21 11:45:00,2024-10-24,134.6,2024-10-21 15:20:00,119.2,Final Expiry Exit,15.399999999999991
CE,25250.0,0.059069019139462164,2024-10-21 12:00:00,2024-10-24,8.55,2024-10-21 15:20:00,7.9,Final Expiry Exit,0.6500000000000004
CE,24700.0,0.44424236806426876,2024-10-22 11:45:00,2024-10-24,104.4,2024-10-22 15:20:00,39.7,Final Expiry Exit,64.7
